키,전략명,전체이름,계열,상태,매수·매도 조건,파라미터,테스트기간,평균수익률_퍼센트,가장나빴던해_퍼센트,최대낙폭_퍼센트,샤프,손익비,거래수,판정,판정이유
rsi_reversion,RSI 반등 30/70,RSI 평균회귀 교과서형 (30/70 + 장기선 필터),평균회귀,hypothesis,RSI 30 반등 매수 + 60일선 위에서만 진입. ⚠️ 2023~2024 백테스트에서 거래 0건: RSI가 30까지 빠질 만큼 하락하면 이미 60일선 아래인 경우가 대부분이라 두 조건이 사실상 공존하지 않는다. 교과서 조합이 실전에서 왜 안 되는지를 보여주는 대조군으로 남겨 둔다.,rsi_period=14; oversold=30; overbought=70; sma_long=60; require_above_long_ma=True,2021~2025 (연도별로 각각 실행하고 평균·최악을 냄),-0.1,-0.5,-0.8,-0.13,0.0,1,보류,5년에 거래 1건입니다. 조건이 너무 까다로워 사실상 아무것도 하지 않습니다. 성적이 아니라 미작동이라 판정을 보류로 둡니다.
rsi2_pullback,RSI(2) 눌림목,RSI(2) 눌림목 매수 (10/70 + 장기선 필터),평균회귀,hypothesis,RSI 기간을 2일로 짧게 잡아 '상승추세 중 얕은 눌림'을 잡는다. RSI(14)로는 장기선 필터와 공존이 불가능했던 문제를 실제로 해결한 버전 (종목당 5~13회 진입 확인).,rsi_period=2; oversold=10; overbought=70; sma_long=60; require_above_long_ma=True,2021~2025 (연도별로 각각 실행하고 평균·최악을 냄),-0.5,-8.2,-14.3,-0.07,1.03,657,조건부,"5년에 657번 사고팔았는데 평균이 -0.5%입니다. 손익비 1.03은 버는 것과 잃는 것이 거의 같다는 뜻이고, 비용을 빼면 마이너스입니다."
rsi_reversion_aggressive,RSI 반등 공격형,"RSI 평균회귀 공격형 (35/65, 필터 없음)",평균회귀,hypothesis,기준을 완화하고 장기 이동평균 필터도 뺀 버전: 진입은 늘지만 하락장에서 물릴 위험이 커진다.,rsi_period=14; oversold=35; overbought=65; sma_long=60; require_above_long_ma=False,2021~2025 (연도별로 각각 실행하고 평균·최악을 냄),4.7,-26.1,-29.4,0.38,1.23,275,안씀,많이 빠진 것을 사는 방식 중에서는 평균이 가장 낫습니다. 그래도 2022년 -26.1%이고 최대낙폭이 -29.4%입니다. 떨어지는 것을 받는 매매가 왜 위험한지를 보여 줍니다.
bollinger_reversion,볼린저 하단 반등,볼린저 하단 반등 (20/2σ),평균회귀,hypothesis,"하단 밴드를 벗어났다 복귀하면 매수, 중심선 도달하면 청산. 박스권에서 잘 통하는 전형적 평균회귀.",window=20; num_std=2.0; exit_at_middle=True,2021~2025 (연도별로 각각 실행하고 평균·최악을 냄),6.8,-20.6,-28.0,0.54,1.25,573,안씀,같은 밴드를 과했다고 읽는 반대 해석입니다. 2022년 -20.6%로 판정 기준선을 넘었습니다. 넓게 잡은 쪽보다 모든 항목에서 못합니다.
bollinger_reversion_wide,볼린저 하단 넓게,볼린저 하단 반등 넓은밴드 (20/2.5σ),평균회귀,hypothesis,밴드를 2.5σ로 넓혀 더 극단적으로 빠졌을 때만 진입: 빈도는 줄고 한 건당 기대값은 커진다.,window=20; num_std=2.5; exit_at_middle=False,2021~2025 (연도별로 각각 실행하고 평균·최악을 냄),13.7,-14.4,-20.5,0.83,1.65,182,조건부,볼린저 복귀를 더 넓게 잡아 덜 삽니다(182거래). 좁게 잡은 쪽보다 평균이 +6.8%에서 +13.7%로 두 배 높고 손익비도 1.25에서 1.65로 올라갑니다. 자주 사는 것이 답이 아니라는 예입니다.
stochastic_20_80,스토캐스틱 교차,"스토캐스틱 교차 (14/3, 20·80)",평균회귀,hypothesis,"과매도 구간에서 %K가 %D 상향돌파 시 매수, 과매수 구간 하향이탈 시 매도.",window=14; smooth_window=3; oversold=20; overbought=80,2021~2025 (연도별로 각각 실행하고 평균·최악을 냄),11.7,-13.8,-18.1,0.49,1.25,409,조건부,"2025년 +61.5%가 평균을 끌어올렸습니다. 2021년과 2024년은 마이너스입니다. 최악 -13.8%, 최대낙폭 -18.1%로 중간입니다."
bollinger_breakout,볼린저 상단 돌파,볼린저 상단 돌파 (거래량 확인),돌파·모멘텀,hypothesis,상단 밴드를 거래량 급증과 함께 뚫으면 매수. 같은 지표를 평균회귀와 정반대로 해석한 가설.,window=20; num_std=2.0; volume_ma_window=20; volume_surge_ratio=1.5,2021~2025 (연도별로 각각 실행하고 평균·최악을 냄),20.9,-11.7,-21.4,0.87,1.32,334,조건부,밴드 상단 돌파를 힘이 세다고 읽는 쪽입니다. 평균 +20.9%는 상위권이고 최악도 -11.7%로 나쁘지 않습니다. 다만 2022년에만 마이너스라 하락장을 못 피하는 성격은 그대로입니다.
volume_surge_5d,거래량 급증 5일,"거래량 급증 단타 (2배, 5일 보유)",돌파·모멘텀,hypothesis,"거래량 2배 급증 + 2% 이상 상승 시 매수, 5거래일 뒤 무조건 청산. 시간 기준 청산이 특징.",volume_ma_window=20; volume_surge_ratio=2.0; min_price_change_pct=2.0; sma_short=20; holding_days=5; exit_sma=None,2021~2025 (연도별로 각각 실행하고 평균·최악을 냄),21.4,0.8,-16.0,1.2,1.36,672,쓸만함,지금 실제로 쓰고 있는 전략입니다. 5년 내내 플러스지만 최악의 해가 +0.8%라 여유가 거의 없습니다. 5년에 672번 사고팔아 수수료와 슬리피지에 민감합니다. 매도 신호를 붙인 변형 둘이 모든 항목에서 이것보다 낫습니다.
volume_surge_5d_ma20,거래량 급증 + 20일선,거래량 급증 + 20일선 매도 (최대 5일 보유),돌파·모멘텀,hypothesis,"사는 조건은 거래량 급증 5일과 같고, 파는 조건만 다르다. 5거래일을 기다리지 않고 종가가 20일 평균선 아래로 내려온 날 판다. '정해진 날짜가 아니라 추세가 깨질 때 판다'는 가설. 5일 보유는 상한으로 남는다.",volume_ma_window=20; volume_surge_ratio=2.0; min_price_change_pct=2.0; sma_short=20; holding_days=5; exit_sma=20,2021~2025 (연도별로 각각 실행하고 평균·최악을 냄),23.1,3.7,-15.9,1.29,1.38,684,쓸만함,"지금 쓰는 전략에 매도 신호를 붙인 것입니다. 20일 이동평균선 아래로 내려온 날 팝니다. 최악의 해가 +0.8%에서 +3.7%로, 평균이 +21.4%에서 +23.1%로, 최대낙폭이 -16.0%에서 -15.9%로 모두 좋아졌습니다. 네 항목이 다 나아진 유일한 변형입니다."
volume_surge_5d_ma10,거래량 급증 + 10일선,거래량 급증 + 10일선 매도 (최대 5일 보유),돌파·모멘텀,hypothesis,위와 같은데 매도선이 10일 평균이라 더 빨리 판다. 20일선과 나란히 놓고 '얼마나 빨리 파는 것이 나은가'를 본다.,volume_ma_window=20; volume_surge_ratio=2.0; min_price_change_pct=2.0; sma_short=20; holding_days=5; exit_sma=10,2021~2025 (연도별로 각각 실행하고 평균·최악을 냄),24.0,3.2,-16.2,1.36,1.4,689,쓸만함,"위와 같은데 10일선으로 더 빨리 팝니다. 평균 +24.0%와 샤프 1.36은 20일선 쪽보다 높지만 최악의 해가 +3.2%로 조금 낮고 최대낙폭이 -16.2%로 원본보다 깊습니다. 빨리 파는 만큼 덜 벌고 덜 다치는 것이 아니라, 덜 다치는 쪽만 놓칩니다."
volume_surge_3d,거래량 급증 3일,"거래량 급증 초단타 (3배, 3일 보유)",돌파·모멘텀,hypothesis,더 강한 급증(3배)만 잡고 3일 만에 청산: 재료 소멸 전에 빠지는 걸 노린 가설.,volume_ma_window=20; volume_surge_ratio=3.0; min_price_change_pct=2.0; sma_short=20; holding_days=3; exit_sma=None,2021~2025 (연도별로 각각 실행하고 평균·최악을 냄),17.8,7.4,-10.0,1.74,1.72,328,쓸만함,"최악의 해가 +7.4%로 27개 중 1위입니다. 손익비 1.72와 샤프 1.74도 1위입니다. 평균은 +17.8%로 중간인데, 조건을 까다롭게(거래량 3배) 잡아 5년에 328번만 사기 때문입니다. 지금 쓰는 전략보다 최악의 해가 6.6%p 낫습니다."
price_channel_20,20일 신고가 돌파,종가 신고가 돌파 (20일),돌파·모멘텀,hypothesis,"20일 종가 신고가를 넘으면 매수, 20일선 이탈 시 매도. 장중 흔들림에 덜 반응하는 돌파.",lookback=20; breakout_pct=0.0; exit_sma=20,2021~2025 (연도별로 각각 실행하고 평균·최악을 냄),39.2,-34.8,-34.8,0.78,1.6,462,안씀,2023년 +109.7%로 튀었지만 2022년 -34.8%입니다. 최대낙폭도 -34.8%로 깊습니다. 한 해가 전체 평균을 만든 전형입니다.
price_channel_60_strict,60일 신고가 돌파,"종가 신고가 돌파 장기·엄격 (60일, +1%)",돌파·모멘텀,hypothesis,60일 신고가를 1% 이상 확실히 뚫어야 진입: 가짜 돌파를 최대한 걸러낸 버전.,lookback=60; breakout_pct=1.0; exit_sma=20,2021~2025 (연도별로 각각 실행하고 평균·최악을 냄),29.2,-20.7,-22.3,0.65,1.43,319,안씀,60일 신고가 돌파입니다. 2023년 +96.2%가 컸고 2022년 -20.7%입니다. 평균 +29.2%는 높지만 한 해가 만든 평균입니다.
volatility_breakout_k05,변동성 돌파,"변동성 돌파 (K=0.5, 1일 보유)",돌파·모멘텀,hypothesis,"오늘 시가 + (어제 고가−저가)×0.5 를 넘으면 매수, 다음 날 청산. 래리 윌리엄스 규칙으로 한국에서 가장 널리 알려진 단타 공식인데 동료심사 논문이 없다. **일봉 근사다**. 돌파선 가격이 아니라 돌파가 일어난 날 종가로 따라 사므로 원 규칙의 성적이 아니다.",k=0.5; holding_days=1,2021~2025 (연도별로 각각 실행하고 평균·최악을 냄),-2.8,-38.1,-38.2,-0.32,0.97,4042,안씀,"한국에서 가장 유명한 단타 공식인데 5년 중 세 해가 마이너스였고 최악의 해는 -38.1%입니다. 손익비 0.97은 버는 것보다 잃는 것이 많다는 뜻입니다. 거래가 4,042건으로 지금 쓰는 전략의 6배인데, K=0.5면 거의 매일 돌파 신호가 나기 때문입니다. 다만 이것은 일봉 근사입니다. 원래는 돌파선을 뚫는 순간 사는 규칙인데 분봉이 없어 그날 시가로 따라 샀습니다. 근사 때문에 나빠진 몫이 얼마인지는 모릅니다."
gap_up_go,갭 상승 따라가기,"갭 상승 따라가기 (2% 이상, 1일 보유)",돌파·모멘텀,hypothesis,어제 종가보다 2% 이상 높게 시작한 날 매수: '갭 방향으로 계속 간다'는 쪽. 문헌은 갭이 이어질 확률과 되돌아올 확률이 비슷하다고 본다.,direction=up; min_gap_pct=2.0; holding_days=1,2021~2025 (연도별로 각각 실행하고 평균·최악을 냄),10.7,-23.1,-29.7,0.57,1.13,1447,안씀,"갭 상승을 따라가는 쪽입니다. 평균 +10.7%로 플러스지만 2024년 -23.1%를 맞았고 최대낙폭이 -29.7%입니다. 5년에 1,447번 사고팔아 비용에 가장 민감한 축에 듭니다."
gap_down_fill,갭 하락 메우기,"갭 하락 메우기 (2% 이상, 1일 보유)",평균회귀,hypothesis,어제 종가보다 2% 이상 낮게 시작한 날 매수: '갭은 메워진다'는 쪽. 위와 정반대 가설이라 둘 다 등록한다. 한쪽만 재면 결과를 미리 정해 놓고 재는 셈이 된다.,direction=down; min_gap_pct=2.0; holding_days=1,2021~2025 (연도별로 각각 실행하고 평균·최악을 냄),7.9,-6.2,-13.2,0.51,1.16,1021,조건부,"벌어진 갭은 메워진다는 가설에 건 쪽입니다. 평균 +7.9%로 플러스지만 2021년 -6.2%, 2022년 -2.5%로 두 해가 마이너스입니다. 정반대 가설인 갭 상승 따라가기(평균 +10.7%, 최악 -23.1%)와 비교하면 평균은 낮고 최악은 훨씬 낫습니다. 문헌은 반반이라고 하는데 우리 기간에서는 메우는 쪽이 덜 다쳤습니다."
factor_score_v1,종합점수 합산,Factor 점수 합산 V1 (추세+모멘텀+상대강도+눌림+거래량+국면),점수합산,hypothesis,"6개 관점을 각각 0~100점으로 매기고 가중 합산해 75점 이상이면 매수. 가중치와 ON/OFF를 설정에서 바꿀 수 있어, 코드 수정 없이 전략을 실험한다. 상대강도(유니버스 내 순위)와 시장국면(Breadth)은 종목 하나만 보던 기존 구조에서는 만들 수 없던 변수다.",확인 필요 (파라미터 객체를 못 찾음),2021~2025 (연도별로 각각 실행하고 평균·최악을 냄),18.0,-29.0,-30.7,0.28,1.35,129,안씀,여러 기준을 점수로 합산하는 방식입니다. 2024년 -29.0%이고 5년에 129거래뿐입니다. 평균 +18.0%는 2023년 +62.2%와 2025년 +52.1%가 만들었습니다.
